driverId,week,hours-logged,miles-logged
119,9,75,0
854,29,75,900
726,15,79,3000
619,32,68,3600
749,42,67,3900
132,50,63,3500
1005,40,50,100
352,21,70,3100
25,29,54,1900
850,23,77,1800
693,49,55,1600
378,36,71,400
278,39,57,0
662,9,56,3800
825,23,72,1200
353,11,53,3200
751,31,67,2000
987,4,64,2400
732,26,60,3800
314,24,65,1100
15,26,54,2600
35,45,50,2400
744,17,53,4000
694,7,65,2600
630,1,64,3100
211,45,62,1100
772,40,79,600
591,22,74,1600
528,6,62,800
179,5,66,3700
689,19,66,3700
301,14,75,3000
409,9,74,3100
634,8,72,700
655,14,72,1800
77,34,78,1800
432,24,78,2800
740,51,73,2100
161,18,68,300
593,41,50,700
499,16,54,2700
281,49,65,2200
132,10,56,600
828,27,58,2200
497,39,76,3500
82,32,78,100
817,31,78,300
692,14,60,1700
453,47,74,2900
732,22,50,1400
952,7,64,600
448,16,68,3400
617,38,69,3300
621,33,75,1500
728,51,57,700
751,47,52,700
688,17,68,200
970,42,55,3900
741,9,54,4000
580,13,80,3300
646,6,76,100
959,11,74,2200
275,11,65,2600
265,36,77,3300
180,39,58,2500
768,41,79,2400
145,47,80,500
940,46,53,300
341,6,79,3500
973,16,60,1900
65,51,52,1700
480,38,53,1600
128,42,67,2000
312,40,68,2800
789,30,63,1600
612,27,75,1000
839,46,56,3200
249,36,78,2400
868,33,64,1600
462,1,66,2500
590,52,59,700
675,41,59,400
837,20,55,2800
593,38,50,3300
638,5,74,3100
141,47,53,1000
206,20,54,800
993,41,74,3500
205,3,58,400
308,45,51,3100
312,27,59,700
550,34,58,2300
959,6,70,1500
50,48,75,1900
76,1,61,1500
420,11,52,2200
408,13,55,3000
710,9,64,600
443,2,50,1100
896,33,76,2300
767,35,54,2700
557,30,52,0
910,30,78,3100
540,7,55,0
65,34,71,200
833,3,52,1700
910,42,65,4000
143,48,75,1200
248,15,54,3100
626,19,52,3700
409,17,68,600
43,42,63,0
439,27,59,800
37,9,77,1800
831,43,67,1400
193,34,56,2300
